Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,ඉස්සා (L),1349.5
,,,,,,,,,කකුළුවා (L),1250.0
,,,,,,,,,කකුළුවා (S),600.0
,,,,,,,,,දැල්ලා (S),600.0
,,,,,,,,,දැල්ලා (L),758.0
,,,,,,,,,ඇටවල්ලා,450.0
,,,,,,,,,අලගොඩුවා,430.0
,,,,,,,,,මෝදා කලමි,720.0
,,,,,,,,,තිලපියා,450.0
,,,,,,,,,ලුලා,
,,,,,,,,,ගොඩුවා,1200.0
,,,,,,,,,මුහුදු කුකුළා,240.0
,,,,,,,,,පානතඹුවා,
,,,,,,,,,කහ පරව්,680.0
,,,,,,,,,බයිටා,
,,,,,,,,,නගරි,
,,,,,,,,,පුළුන්නා,
,,,,,,,,,මූදිල්ලා,
,,,,,,,,,වන්න පරා,
,,,,,,,,,කලංදා,
,,,,,,,,,දිවුලා,
,,,,,,,,,වව්වාලයා,
,,,,,,,,,පීලි දැල්ලා,625.0
,,,,,,,,,කෙලවල්ලා (S),
,,,,,,,,,හිගුරා,
,,,,,,,,,ජීලාවා (S),
,,,,,,,,,තෝරා (S),1030.0
,,,,,,,,,බලයා  (S),
,,,,,,,,,රතු දැල්ලා,
,,,,,,,,,රතු ගල්මාළු,
,,,,,,,,,කිරල පරා,450.0
,,,,,,,,,අංජිලා (s),
,,,,,,,,,දැල්ලා (කපන),600.0
,,,,,,,,,සාවාලයා,
,,,,,,,,,තෝරා (කපන),
,,,,,,,,,පන්නා,
,,,,,,,,,පරව් (කපන),1400.0
,,,,,,,,,තලපත් (කපන),1155.0
,,,,,,,,,කකුළුවා මස්,
,,,,,,,,,සාලයා,180.0
,,,,,,,,,තම්බුවා,
,,,,,,,,,ඉස්සා (head less),
,,,,,,,,,දැල්ලා (corn),790.0
,,,,,,,,,ජීලාවා (කපන),
,,,,,,,,,කුම්බලා (S),
,,,,,,,,,කෙලවල්ලා කූරි,
,,,,,,,,,කිරි මෝරා,
,,,,,,,,,තලපත් කූරි,
,,,,,,,,,ඉස්සා Flowery,
,,,,,,,,,කෙලවල්ලා (කපන),1230.0
,,,,,,,,,තලපත් කෑලි,
,,,,,,,,,සෙරයා,
,,,,,,,,,කොස්සා,
,,,,,,,,,අන්ගුලුවා,
,,,,,,,,,කුනිස්සා,
,,,,,,,,,කොරලි,
,,,,,,,,,සප්පරා,
,,,,,,,,,අංජීලා,1210.0
,,,,,,,,,කොප්පරා (Mid Cut),1100.0
,,,,,,,,,බබරා,
,,,,,,,,,බෝල්ලා (S),280.0
,,,,,,,,,ඉස්සා (Clearn),2200.0
,,,,,,,,,මුහුදු ඉස්සා,
,,,,,,,,,කොප්පරා (Marlin),
,,,,,,,,,පරා ඔලු,
,,,,,,,,,ඇටිස්සා (S),
,,,,,,,,,ලින්නා (S),
,,,,,,,,,ෆාම් ඉස්සා,
,,,,,,,,,කිරි ඉස්සා,
,,,,,,,,,කට්ලට් මාඵ,
,,,,,,,,,හැඩැල්ලා (S),
,,,,,,,,,කීරමින් සාලයා,
,,,,,,,,,කටු මැස්සා,
,,,,,,,,,මල් ඉස්සා,
,,,,,,,,,දැල්ලා (CLEARN),
,,,,,,,,,මෝරා (කපන),
,,,,,,,,,බල කූරි,
,,,,,,,,,පරා පැටව්,510.0
,,,,,,,,,සැමන් පරව්,
,,,,,,,,,පරාටි,
,,,,,,,,,ලේන පරව් (s),
,,,,,,,,,වැව් මාඵ,
,,,,,,,,,ගිරවා,
,,,,,,,,,කොප්පරා,
,,,,,,,,,කෙලවල්ලා (S),
,,,,,,,,,තොරා කූරි,
,,,,,,,,,තෙප්පිලි,
,,,,,,,,,බතලයා,
,,,,,,,,,පරා කෑලි,
,,,,,,,,,ගල් මාඵ (කපන),1320.0
